                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   5.47,                 5.1693,                 4.2712,                      0,                      0,                      0,                      0,                 6.2374,                 4.9249,                  4.224,             0.00024959,             0.00024959,             0.00024959
                      2,                 4.1406,                 4.0115,                 3.5607,                      0,                      0,                      0,                      0,                 6.3409,                  5.119,                 4.5585,             0.00050091,             0.00050091,             0.00050091
                      3,                 3.5419,                 3.3167,                 2.9793,                0.27736,                0.00979,                0.01018,                0.00272,                 5.1248,                 4.3016,                 3.7003,             0.00074716,             0.00074716,             0.00074716
                      4,                 2.9276,                   3.02,                 2.6076,                0.34318,                0.07192,                0.06672,                0.02379,                 2.9588,                 2.8459,                 2.6063,             0.00074616,             0.00074616,             0.00074616
                      5,                 2.5293,                 2.7975,                 2.3542,                0.24585,                0.21007,                0.10193,                0.04959,                 2.0898,                  2.688,                 2.2303,             0.00074616,             0.00074616,             0.00074616
                      6,                 2.2992,                 2.5635,                 2.1462,                 0.3542,                0.25008,                0.21148,                0.10025,                 1.8886,                 2.3588,                 2.0626,             0.00073855,             0.00073855,             0.00073855
                      7,                 2.0945,                 2.3782,                 2.0071,                0.48268,                0.23393,                0.24436,                0.12253,                 1.7629,                 2.3498,                 1.9346,             0.00073093,             0.00073093,             0.00073093
                      8,                  1.913,                 2.2563,                 1.8899,                 0.3309,                0.36695,                0.26383,                0.13597,                 1.6336,                 2.1227,                 1.8008,             0.00072332,             0.00072332,             0.00072332
                      9,                  1.867,                 2.1576,                 1.8164,                0.52373,                0.35479,                0.31499,                0.17037,                 1.5752,                 1.9691,                 1.7668,             0.00071571,             0.00071571,             0.00071571
                     10,                 1.7682,                 2.0475,                 1.7383,                0.56321,                0.38552,                0.36255,                0.20434,                  1.529,                 1.9506,                 1.6759,              0.0007081,              0.0007081,              0.0007081
                     11,                 1.7203,                 1.9942,                 1.6869,                 0.5426,                0.42189,                0.39222,                0.21988,                 1.4835,                 1.7397,                 1.6051,             0.00070048,             0.00070048,             0.00070048
                     12,                 1.6675,                 1.8874,                   1.63,                0.57863,                0.46019,                0.40197,                0.23225,                 1.4555,                 1.7172,                 1.5774,             0.00069287,             0.00069287,             0.00069287
                     13,                 1.6401,                 1.8121,                 1.5885,                0.59243,                0.48606,                0.44129,                 0.2587,                 1.4268,                 1.6631,                 1.5217,             0.00068526,             0.00068526,             0.00068526
                     14,                 1.6126,                 1.7879,                 1.5658,                0.51012,                0.50404,                0.43726,                0.25464,                 1.3987,                 1.6799,                 1.5159,             0.00067764,             0.00067764,             0.00067764
                     15,                  1.575,                 1.8045,                 1.5366,                0.43891,                 0.5693,                0.45731,                0.26664,                 1.3613,                 1.5753,                 1.4565,             0.00067003,             0.00067003,             0.00067003
                     16,                  1.515,                 1.6537,                  1.478,                0.47914,                0.57996,                0.51249,                 0.2968,                  1.356,                 1.4407,                 1.4399,             0.00066242,             0.00066242,             0.00066242
                     17,                 1.5351,                 1.6456,                 1.4808,                0.47262,                0.61228,                0.53487,                0.31503,                 1.3337,                 1.4552,                 1.4242,              0.0006548,              0.0006548,              0.0006548
                     18,                 1.4802,                 1.5789,                  1.425,                0.48197,                0.65964,                0.55039,                0.32501,                 1.3242,                 1.4491,                  1.401,             0.00064719,             0.00064719,             0.00064719
                     19,                 1.4822,                 1.5336,                 1.4087,                 0.5114,                 0.6605,                0.53785,                0.31681,                 1.3601,                 1.4347,                 1.3927,             0.00063958,             0.00063958,             0.00063958
                     20,                 1.4728,                 1.5423,                 1.4072,                0.51182,                0.61784,                0.56989,                0.34391,                 1.2801,                 1.4429,                 1.3516,             0.00063196,             0.00063196,             0.00063196
                     21,                 1.4715,                 1.5005,                 1.3884,                0.53365,                0.66018,                0.58306,                0.34822,                 1.2885,                 1.3373,                 1.3508,             0.00062435,             0.00062435,             0.00062435
                     22,                 1.4305,                 1.4523,                  1.357,                0.55061,                0.60204,                0.59879,                0.35305,                 1.3313,                 1.3845,                 1.3593,             0.00061674,             0.00061674,             0.00061674
                     23,                 1.4231,                 1.4522,                 1.3346,                0.52824,                0.70369,                0.59903,                0.35961,                 1.3075,                   1.31,                 1.3623,             0.00060912,             0.00060912,             0.00060912
                     24,                 1.3935,                 1.4204,                 1.3296,                0.52121,                0.71491,                0.59882,                0.35246,                 1.3574,                 1.3876,                 1.3356,             0.00060151,             0.00060151,             0.00060151
                     25,                 1.3779,                 1.3939,                  1.321,                0.51484,                 0.7052,                0.60626,                0.36246,                 1.3006,                 1.2918,                  1.324,              0.0005939,              0.0005939,              0.0005939
                     26,                 1.3857,                 1.3774,                 1.3108,                0.56529,                0.70244,                0.62785,                0.38169,                 1.2743,                 1.2936,                 1.3112,             0.00058629,             0.00058629,             0.00058629
                     27,                 1.3632,                 1.3349,                 1.2846,                0.55021,                0.69615,                0.65089,                0.40422,                 1.2412,                 1.2569,                 1.2879,             0.00057867,             0.00057867,             0.00057867
                     28,                 1.3658,                 1.3232,                 1.2818,                0.57929,                0.67852,                0.64371,                0.38954,                 1.2903,                   1.27,                 1.3064,             0.00057106,             0.00057106,             0.00057106
